店铺名	订单号	会员名称	店铺所在地	消费金额	菜品名称	菜品单价	消费数量（单个菜品）	菜品成本	菜品类别	菜品口味	点餐时间
私房小站（越秀分店）	20160827785	关大山	广州	433	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-27 12:13:49
私房小站（天河分店）	20160827496	卢雨玲	广州	821	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-27 17:07:56
私房小站（番禺分店）	20160827455	卢子翰	广州	317	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-27 18:12:01
私房小站（福田分店）	20160827761	黄曼玉	深圳	745	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-27 19:03:58
私房小站（番禺分店）	20160827549	陈慧茹	广州	300	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-27 21:51:18
私房小站（番禺分店）	20160828880	唐轩	广州	495	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-28 14:04:17
私房小站（禅城分店）	20160830168	张馥雨	佛山	1105	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-30 12:19:25
私房小站（天河分店）	20160830636	王静宇	广州	349	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-30 20:57:23
私房小站（天河分店）	20160831763	方祥文	广州	296	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-31 18:07:56
私房小站（盐田分店）	20160801413	卓永梅	深圳	854	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-01 12:45:24
私房小站（天河分店）	20160801622	徐骏太	广州	164	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-01 17:40:48
私房小站（天河分店）	20160804673	张光熙	广州	690	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-04 20:45:08
私房小站（越秀分店）	20160804557	沈瑶	广州	1023	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-04 22:00:39
私房小站（珠海分店）	20160813853	卓永梅	珠海	636	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-13 14:00:15
私房小站（越秀分店）	20160814282	薛骐佳	广州	734	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-14 11:47:04
私房小站（福田分店）	20160814802	夏浩芝	深圳	604	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-14 12:13:43
私房小站（福田分店）	20160817513	张大鹏	深圳	784	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-17 18:37:16
私房小站（越秀分店）	20160820795	屈慧芳	广州	374	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-20 11:25:45
私房小站（珠海分店）	20160821908	郑景明	珠海	655	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-21 20:45:37
私房小站（天河分店）	20160823204	龚倩	广州	532	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-23 12:24:59
私房小站（越秀分店）	20160824511	沈瑶	广州	331	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-24 19:17:41
私房小站（罗湖分店）	20160827866	刘斌义	深圳	736	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-27 12:15:59
私房小站（越秀分店）	20160828864	卓永梅	广州	371	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-28 13:17:54
私房小站（福田分店）	20160829179	姜晗昱	深圳	247	重庆特色油烧兔	69	1	42.0	其他肉类	麻辣	2016-08-29 12:22:22
私房小站（盐田分店）	20160801413	卓永梅	深圳	854	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-01 12:46:26
私房小站（福田分店）	20160801467	赵英	深圳	615	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-01 19:47:32
私房小站（天河分店）	20160803776	胡誉文	广州	760	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-03 17:40:03
私房小站（番禺分店）	20160804383	黄哲	广州	705	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-04 12:12:52
私房小站（番禺分店）	20160805652	申鹭达	广州	346	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-05 18:58:19
私房小站（盐田分店）	20160807844	张涵函	深圳	766	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-07 12:18:36
私房小站（盐田分店）	20160807642	乌祈彬	深圳	565	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-07 18:07:17
私房小站（福田分店）	20160810637	赵靓玥	深圳	282	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-10 19:59:38
私房小站（越秀分店）	20160811680	胡志广	广州	592	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-11 20:49:25
私房小站（福田分店）	20160813817	周子轩	深圳	517	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-13 11:16:06
私房小站（罗湖分店）	20160813799	王潘潘	深圳	733	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-13 11:18:31
私房小站（珠海分店）	20160813882	陈庆胜	珠海	516	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-13 12:44:25
私房小站（番禺分店）	20160813457	周子轩	广州	404	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-13 19:29:49
私房小站（番禺分店）	20160813768	薛玉生	广州	314	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-13 21:05:24
私房小站（天河分店）	20160814567	宁水灵	广州	456	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-14 20:15:33
私房小站（禅城分店）	20160815743	屈贤	佛山	1214	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-15 21:19:37
私房小站（天河分店）	20160815459	徐永芝	广州	773	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-15 22:00:50
私房小站（番禺分店）	20160817528	陶永潮	广州	475	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-17 19:26:05
私房小站（罗湖分店）	20160817632	苗雨谷	深圳	140	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-17 20:26:39
私房小站（天河分店）	20160818581	徐慧瑜	广州	233	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-18 20:44:01
私房小站（盐田分店）	20160819503	王锦鹏	深圳	407	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-19 21:49:03
私房小站（番禺分店）	20160820873	刑欣悦	广州	704	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-20 12:51:18
私房小站（越秀分店）	20160822410	夏晴	广州	347	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-22 12:01:32
私房小站（番禺分店）	20160822717	高霖	广州	712	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-22 20:21:53
私房小站（罗湖分店）	20160823318	杨依萱	深圳	958	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-23 12:21:17
私房小站（福田分店）	20160823505	刘斌义	深圳	566	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-23 17:16:41
私房小站（福田分店）	20160824519	吴秋雨	深圳	543	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-24 19:25:43
私房小站（越秀分店）	20160826257	卢子翰	广州	599	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-26 13:27:02
私房小站（天河分店）	20160827868	陆丽达	广州	410	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-27 12:45:36
私房小站（天河分店）	20160827496	卢雨玲	广州	821	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-27 17:06:09
私房小站（福田分店）	20160827465	卢锦曦	深圳	1010	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-27 17:21:39
私房小站（番禺分店）	20160827910	冷志冬	广州	511	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-27 20:40:47
私房小站（番禺分店）	20160828883	于靖	广州	670	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-28 13:20:17
私房小站（越秀分店）	20160828561	袁祯启	广州	1144	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-28 19:36:41
私房小站（福田分店）	20160828614	卢雨玲	深圳	685	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-28 20:51:15
私房小站（罗湖分店）	20160829740	屈贤	深圳	909	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-29 20:52:31
私房小站（盐田分店）	20160801413	卓永梅	深圳	854	长城窖酿解百纳红酒干红葡萄酒	35	1	20.0	红酒类	果味	2016-08-01 12:48:48
私房小站（天河分店）	20160803776	胡誉文	广州	760	长城窖酿解百纳红酒干红葡萄酒	35	1	20.0	红酒类	果味	2016-08-03 17:42:38
私房小站（番禺分店）	20160815689	屈贤	广州	353	长城窖酿解百纳红酒干红葡萄酒	35	1	20.0	红酒类	果味	2016-08-15 21:59:10
私房小站（越秀分店）	20160818442	王诗妙	广州	630	长城窖酿解百纳红酒干红葡萄酒	35	1	20.0	红酒类	果味	2016-08-18 18:08:25
私房小站（天河分店）	20160819490	卓小楚	广州	703	长城窖酿解百纳红酒干红葡萄酒	35	1	20.0	红酒类	果味	2016-08-19 20:14:24
私房小站（盐田分店）	20160801413	卓永梅	深圳	854	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-01 12:49:27
私房小站（番禺分店）	20160805652	申鹭达	广州	346	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-05 18:59:14
私房小站（番禺分店）	20160806855	柴莉娇	广州	689	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-06 13:42:20
私房小站（天河分店）	20160807812	朱钰	广州	720	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-07 12:10:23
私房小站（番禺分店）	20160807474	徐欣予	广州	698	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-07 19:15:59
私房小站（天河分店）	20160807598	范旭禹	广州	529	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-07 21:44:43
私房小站（禅城分店）	20160808628	柴亟汛	佛山	842	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-08 20:11:25
私房小站（番禺分店）	20160808663	丰照民	广州	782	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-08 20:27:49
私房小站（越秀分店）	20160810764	范曜纲	广州	830	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-10 19:41:01
私房小站（天河分店）	20160811369	范小菡	广州	190	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-11 12:59:12
私房小站（罗湖分店）	20160813799	王潘潘	深圳	733	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-13 11:23:08
私房小站（天河分店）	20160813886	蒲澜恺	广州	298	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-13 13:21:24
私房小站（越秀分店）	20160814783	蔺家春	广州	823	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-14 12:10:55
私房小站（天河分店）	20160814567	宁水灵	广州	456	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-14 20:19:53
私房小站（天河分店）	20160816728	王树朋	广州	823	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-16 17:22:07
私房小站（福田分店）	20160817482	朱倩雪	深圳	861	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-17 19:04:57
私房小站（番禺分店）	20160817653	张平	广州	598	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-17 21:33:54
私房小站（罗湖分店）	20160819586	关庭	深圳	471	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-19 20:39:57
私房小站（越秀分店）	20160820833	牛雨萱	广州	823	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-20 13:53:45
私房小站（禅城分店）	20160821709	黄文轩	佛山	378	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-21 21:45:02
私房小站（天河分店）	20160822388	吕欣然	广州	505	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-22 13:38:43
私房小站（罗湖分店）	20160822691	王静	深圳	363	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-22 17:15:24
私房小站（天河分店）	20160825518	艾文茜	广州	594	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-25 20:07:52
私房小站（越秀分店）	20160826257	卢子翰	广州	599	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-26 13:28:14
私房小站（天河分店）	20160827496	卢雨玲	广州	821	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-27 17:11:22
私房小站（罗湖分店）	20160827687	律剑波	深圳	713	紫薯面包卷	20	3	10.0	甜点类	甜	2016-08-27 18:10:37
私房小站（福田分店）	20160828902	张记宝	深圳	947	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-28 18:35:46
私房小站（福田分店）	20160828582	袁昊天	深圳	768	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-28 21:26:38
私房小站（罗湖分店）	20160829740	屈贤	深圳	909	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-29 20:52:24
私房小站（罗湖分店）	20160830398	李海峰	深圳	980	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-30 11:27:23
私房小站（盐田分店）	20160830461	赵玉倩	深圳	303	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-30 21:55:19
私房小站（福田分店）	20160830777	赵倩	深圳	824	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-30 21:55:31
私房小站（天河分店）	20160831641	李靖	广州	679	紫薯面包卷	20	2	10.0	甜点类	甜	2016-08-31 21:29:09
私房小站（福田分店）	20160831672	王静宇	深圳	800	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-31 21:46:34
私房小站（盐田分店）	20160801413	卓永梅	深圳	854	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-01 12:50:03
私房小站（福田分店）	20160801429	苗泽坤	深圳	699	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-01 13:29:41
私房小站（罗湖分店）	20160802585	袁佳玉	深圳	659	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-02 20:25:32
私房小站（盐田分店）	20160804668	沈子淇	深圳	291	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-04 18:19:24
私房小站（罗湖分店）	20160805575	李围围	深圳	908	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-05 18:52:22
私房小站（番禺分店）	20160805652	申鹭达	广州	346	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-05 19:02:15
私房小站（番禺分店）	20160806814	夏雪	广州	331	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-06 11:56:34
私房小站（盐田分店）	20160806266	张馥雨	深圳	335	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-06 12:38:22
私房小站（福田分店）	20160806311	张小雨	深圳	402	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-06 13:10:46
私房小站（天河分店）	20160807239	王静	广州	182	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-07 11:37:24
私房小站（罗湖分店）	20160807546	徐艺鸣	深圳	832	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-07 22:04:33
私房小站（禅城分店）	20160808628	柴亟汛	佛山	842	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-08 20:08:34
私房小站（福田分店）	20160808504	周子轩	深圳	699	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-08 21:17:20
私房小站（福田分店）	20160809618	周东平	深圳	877	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-09 21:05:45
私房小站（天河分店）	20160810314	于靖	广州	694	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-10 12:03:25
私房小站（禅城分店）	20160810595	沈嘉仪	佛山	416	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-10 17:46:14
私房小站（天河分店）	20160810662	丰佳彤	广州	560	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-10 18:09:13
私房小站（盐田分店）	20160810468	方茹君	深圳	839	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-10 19:04:07
私房小站（天河分店）	20160812472	赵玉倩	广州	604	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-12 19:35:20
私房小站（罗湖分店）	20160813799	王潘潘	深圳	733	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-13 11:22:30
私房小站（番禺分店）	20160813509	陈雨欣	广州	481	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-13 21:52:16
私房小站（罗湖分店）	20160814893	高润宸	深圳	355	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-14 12:45:54
私房小站（天河分店）	20160815173	刑星渊	广州	336	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-15 12:18:47
私房小站（珠海分店）	20160815648	陈力	珠海	807	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-15 18:38:04
私房小站（禅城分店）	20160815743	屈贤	佛山	1214	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-15 21:26:44
私房小站（越秀分店）	20160816744	章昱瑶	广州	229	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-16 18:59:11
私房小站（越秀分店）	20160817724	夏昊然	广州	845	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-17 19:59:06
私房小站（顺德分店）	20160818258	任雨文	佛山	474	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-18 13:24:52
私房小站（盐田分店）	20160819605	范鸾杉	深圳	843	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-19 20:03:38
私房小站（越秀分店）	20160820795	屈慧芳	广州	374	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-20 11:18:48
私房小站（天河分店）	20160820813	包达菲	广州	1018	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-20 11:46:15
私房小站（禅城分店）	20160820857	薛依然	佛山	694	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-20 11:56:07
私房小站（盐田分店）	20160820793	张小雨	深圳	887	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-20 12:17:52
私房小站（福田分店）	20160820810	冷晓岚	深圳	256	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-20 13:25:03
私房小站（天河分店）	20160821792	高培淇	广州	353	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-21 13:26:20
私房小站（顺德分店）	20160821580	司志康	佛山	755	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-21 18:31:44
私房小站（天河分店）	20160821608	律剑波	广州	809	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-21 21:41:40
私房小站（越秀分店）	20160822410	夏晴	广州	347	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-22 11:59:46
私房小站（天河分店）	20160823217	陶永潮	广州	579	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-23 12:21:52
私房小站（盐田分店）	20160823321	林子菡	深圳	369	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-23 12:34:23
私房小站（珠海分店）	20160826611	陈慧茹	珠海	408	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-26 18:04:18
私房小站（福田分店）	20160826554	袁昊天	深圳	708	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-26 19:53:23
私房小站（番禺分店）	20160827329	林子菡	广州	303	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-27 13:07:44
私房小站（罗湖分店）	20160827821	张小雨	深圳	770	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-27 13:15:13
私房小站（福田分店）	20160827819	周钰彤	深圳	796	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-27 13:51:35
私房小站（天河分店）	20160827496	卢雨玲	广州	821	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-27 17:11:49
私房小站（盐田分店）	20160827556	曾耀扬	深圳	449	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-27 20:53:58
私房小站（番禺分店）	20160827549	陈慧茹	广州	300	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-27 21:56:10
私房小站（番禺分店）	20160828789	王波	广州	481	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-28 11:10:19
私房小站（番禺分店）	20160828890	卢俊恒	广州	743	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-28 11:47:22
私房小站（罗湖分店）	20160828297	易子歆	深圳	219	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-28 12:44:02
私房小站（盐田分店）	20160828297	余思言	深圳	1031	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-28 12:44:02
私房小站（越秀分店）	20160828864	卓永梅	广州	371	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-28 13:22:13
私房小站（番禺分店）	20160828823	卢锦曦	广州	349	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-28 13:55:14
私房小站（越秀分店）	20160828561	袁祯启	广州	1144	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-28 19:38:36
私房小站（福田分店）	20160828582	袁昊天	深圳	768	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-28 21:35:58
私房小站（罗湖分店）	20160830398	李海峰	深圳	980	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-30 11:33:49
私房小站（天河分店）	20160831721	夏雪	广州	624	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-31 18:36:58
私房小站（番禺分店）	20160831692	习一冰	广州	735	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-31 21:33:37
私房小站（盐田分店）	20160801413	卓永梅	深圳	854	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-01 12:51:46
私房小站（福田分店）	20160803137	胡競涛	深圳	197	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-03 14:02:37
私房小站（天河分店）	20160803670	王祥业	广州	580	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-03 17:28:13
私房小站（福田分店）	20160804742	柴瑜哲	深圳	648	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-04 18:24:26
私房小站（顺德分店）	20160806203	赵继涵	佛山	238	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-06 13:18:22
私房小站（越秀分店）	20160806447	柴豪逊	广州	642	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-06 17:22:01
私房小站（番禺分店）	20160806584	刑兴国	广州	1156	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-06 18:05:57
私房小站（天河分店）	20160807598	范旭禹	广州	529	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-07 21:40:33
私房小站（番禺分店）	20160808469	唐丹丹	广州	397	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-08 18:20:48
私房小站（番禺分店）	20160808663	丰照民	广州	782	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-08 20:22:13
私房小站（珠海分店）	20160809338	叶亦凯	珠海	201	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-09 11:22:31
私房小站（番禺分店）	20160809534	陆涛	广州	356	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-09 18:05:23
私房小站（天河分店）	20160810314	于靖	广州	694	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-10 12:00:02
私房小站（福田分店）	20160812352	卫晓丽	深圳	116	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-12 12:19:41
私房小站（福田分店）	20160812421	赵思宗	深圳	301	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-12 13:23:09
私房小站（天河分店）	20160812389	夏茂天	广州	213	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-12 13:44:02
私房小站（番禺分店）	20160812453	易子歆	广州	378	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-12 18:17:37
私房小站（越秀分店）	20160813899	蓝梦琳	广州	612	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-13 12:19:50
私房小站（番禺分店）	20160815272	曾念夕	广州	469	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-15 13:02:41
私房小站（福田分店）	20160815550	黄青芸	深圳	157	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-15 17:59:55
私房小站（天河分店）	20160816728	王树朋	广州	823	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-16 17:24:11
私房小站（福田分店）	20160817482	朱倩雪	深圳	861	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-17 18:59:54
私房小站（罗湖分店）	20160818525	刘东方	深圳	223	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-18 19:36:20
私房小站（福田分店）	20160819612	王潘潘	深圳	723	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-19 21:14:34
私房小站（罗湖分店）	20160820832	魏乐	深圳	698	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-20 11:31:30
私房小站（罗湖分店）	20160820828	蒲子喧	深圳	593	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-20 13:05:54
私房小站（天河分店）	20160820287	徐若晴	广州	261	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-20 13:41:41
私房小站（越秀分店）	20160820833	牛雨萱	广州	823	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-20 13:53:24
私房小站（番禺分店）	20160821431	高泓翔	广州	1031	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-21 11:27:14
私房小站（越秀分店）	20160822767	方伟	广州	473	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-22 18:32:33
私房小站（天河分店）	20160823217	陶永潮	广州	579	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-23 12:15:53
私房小站（罗湖分店）	20160823318	杨依萱	深圳	958	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-23 12:20:28
私房小站（盐田分店）	20160823321	林子菡	深圳	369	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-23 12:28:02
私房小站（越秀分店）	20160823572	黄文轩	广州	612	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-23 17:14:06
私房小站（福田分店）	20160823609	李佩珊	深圳	411	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-23 18:08:03
私房小站（越秀分店）	20160824604	黄哲	广州	690	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-24 21:07:06
私房小站（越秀分店）	20160825679	张记宝	广州	1064	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-25 17:08:54
私房小站（禅城分店）	20160825523	张小雨	佛山	351	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-25 20:52:50
私房小站（番禺分店）	20160826326	易子歆	广州	494	番茄炖牛腩	35	1	20.0	牛肉类	酸辣	2016-08-26 11:22:45
